distance,altitude
4469.4,857.8
4472.7,858.9
4477.1,860.4
4480.8,861.7
4483.9,862.6
4486.9,863.5
4490.0,864.4
4493.0,865.0
4496.7,865.8
4500.1,866.5
4503.1,867.5
4506.8,868.7
4510.2,869.4
4513.8,869.9
4517.5,870.8
4521.0,871.9
4525.5,873.0
4529.4,873.5
4532.6,873.9
4536.4,873.9
4539.6,873.9
4543.2,874.2
4546.3,874.5
4549.6,874.8
4553.1,875.0
4556.7,875.1
4560.1,875.2
4563.2,875.6
4566.5,876.1
4570.0,876.6
4573.1,876.5
4576.6,876.3
4579.9,876.2
4583.4,876.4
4586.6,876.7
4589.8,876.9
4593.2,877.0
4596.5,877.0
4599.6,877.0
4603.1,877.0
4606.2,876.8
4609.2,876.7
4612.3,876.5
4615.4,876.3
4618.5,876.0
4621.8,875.6
4625.0,875.2
4628.0,874.9
4631.0,874.6
4634.3,874.2
4637.4,874.0
4640.5,873.7
4644.2,873.4
4647.6,873.1
4651.0,872.7
4654.1,872.5
4657.8,872.2
4662.2,871.9
4666.7,871.7
4669.9,871.5
4673.1,871.3
4676.9,871.1
4680.8,871.0
4684.1,871.0
4687.3,871.0
4690.6,871.1
4693.8,871.1
4697.0,871.2
4700.4,871.2
4703.7,871.7
4707.5,872.3
4711.0,872.9
4714.9,873.6
4718.0,874.2
4721.2,874.7
4724.9,875.6
4728.4,876.8
4731.6,877.9
4740.2,877.6
4744.1,876.4
4748.5,875.8
4752.1,875.6
4755.6,875.5
4759.1,875.4
4763.1,875.3
4767.0,875.4
4770.2,875.5
4774.2,875.7
4778.3,875.9
4781.7,876.1
4784.7,876.2
4788.2,876.1
4791.8,875.9
4796.1,876.2
4800.1,876.8
4803.4,877.4
4807.0,878.6
4810.5,879.9
4813.8,881.0
4817.1,882.0
4820.2,882.9
4824.0,884.1
4827.3,885.4
4830.3,886.6
4833.7,887.8
4837.5,888.9
4841.0,889.8
4844.4,890.7
4847.7,891.6
4851.8,892.8
4855.1,894.0
4858.8,895.4
4862.4,896.2
4865.9,896.8
4869.5,897.4
4872.7,898.1
4876.2,898.8
4879.4,899.5
4882.5,900.3
4886.1,901.0
4889.2,901.7
4892.5,902.6
4895.6,903.5
4898.9,904.4
4902.5,905.5
4905.8,906.7
4909.0,907.9
4912.6,909.2
4916.1,909.5
4919.6,909.8
4922.9,910.1
4925.9,910.6
4929.1,911.1
4932.1,911.6
4936.2,912.3
4939.5,912.9
4943.5,913.6
4946.7,914.0
4950.0,914.5
4953.7,915.3
4957.1,916.2
4960.5,917.0
4963.6,917.5
4967.4,918.0
4970.5,918.4
4973.7,918.7
4977.3,919.3
4980.9,919.8
4984.6,920.4
4987.8,921.0
4991.4,921.6
4995.9,922.3
5000.4,922.7
5004.6,923.0
5007.8,923.2
5011.3,923.5
5015.0,923.7
5018.8,924.2
5022.5,924.9
5026.0,925.6
5029.0,926.0
5032.3,926.0
5035.9,926.0
5039.1,926.1
5042.3,926.3
5046.4,926.6
5050.2,927.3
5053.6,927.8
5058.1,928.3
5061.6,928.9
5065.7,929.5
5069.4,929.8
5073.5,930.0
5077.7,931.5
5080.8,932.3
5083.8,932.8
5087.1,933.2
5090.7,933.9
5094.3,935.0
5097.4,935.9
5100.5,936.8
5103.9,937.8
5107.2,938.8
5110.9,939.6
5114.0,940.1
5117.6,940.6
5121.1,940.9
5124.2,939.8
5128.5,938.2
5131.6,937.8
5135.4,939.2
5138.8,940.3
5142.1,941.4
5145.5,942.6
5148.7,943.6
5151.9,944.7
5155.6,945.2
5158.6,945.5
5162.0,945.9
5165.6,946.3
5168.7,947.0
5172.0,947.6
5175.3,948.1
5178.4,948.4
5181.8,948.7
5185.0,949.3
5188.1,949.8
5191.3,950.3
5194.8,950.4
